,0,1,2,3
486,rad21,yy1,1.0,1.0
487,rad21,zbtb7a,1.0,1.0
488,ccnt2,ep300,1.0,1.0
489,ccnt2,etv5,1.0,1.0
490,ccnt2,gabpa,1.0,1.0
491,ccnt2,gtf2i,1.0,1.0
492,ccnt2,hdac2,1.0,1.0
493,ccnt2,irf1,1.0,1.0
494,ccnt2,klf3,1.0,1.0
495,ccnt2,klf4,1.0,1.0
496,ccnt2,klf5,1.0,1.0
497,ccnt2,max,1.0,1.0
498,ccnt2,mycn,1.0,1.0
499,ccnt2,nr3c1,1.0,1.0
500,ccnt2,nrf1,1.0,1.0
501,ccnt2,polr2a,1.0,1.0
502,ccnt2,polr3g,1.0,1.0
503,ccnt2,pou2f1,1.0,1.0
504,ccnt2,rest,1.0,1.0
505,ccnt2,setdb1,1.0,1.0
506,ccnt2,sin3a,1.0,1.0
507,ccnt2,smc3,1.0,1.0
508,ccnt2,sp1,1.0,1.0
509,ccnt2,sp2,1.0,1.0
510,ccnt2,tfdp1,1.0,1.0
511,ccnt2,zbtb7a,1.0,1.0
512,rest,setdb1,1.0,1.0
513,rest,sin3a,1.0,1.0
514,rest,smc3,1.0,1.0
515,hsf1,nrf1,1.0,1.0
516,rest,yy1,1.0,1.0
517,rest,zbtb7a,1.0,1.0
518,id1,nfe2l2,1.0,1.0
519,id1,patz1,1.0,1.0
520,rreb1,sp1,1.0,1.0
521,mga,patz1,1.0,1.0
522,mitf,smc3,1.0,1.0
523,mlx,tcf4,1.0,1.0
524,mlx,tfdp1,1.0,1.0
525,cebpz,hdac2,1.0,1.0
526,mlx,yy1,1.0,1.0
527,cebpz,sp1,1.0,1.0
528,cebpz,sp2,1.0,1.0
529,cebpz,srebf2,1.0,1.0
530,cebpz,stat3,1.0,1.0
531,irf1,taf1,1.0,1.0
532,chd2,ctcf,1.0,1.0
533,chd2,e2f1,1.0,1.0
534,chd2,elf2,1.0,1.0
535,chd2,ep300,1.0,1.0
536,chd2,foxo1,1.0,1.0
537,chd2,foxp4,1.0,1.0
538,chd2,gtf2i,1.0,1.0
