0,gene1,gene2,feedback1,feedback2,kon1,kon2,koff1,koff2,ksyn1,ksyn2,w,bs1,bs2,bf1,bf2,cv1,cv2,convergence,corr,NMI,cmi_given_x1,cmi_given_x2,sign_givenx1,sign_givenx2
53,arnt,klf2,1,1,0.0001,2.352095177,5.20024771,9.40791428,1.872122046,213.6076155,4.983882291,1.00E-04,1.881657484,0.360006321,22.70509797,1.106128264,0.493669304,1,0.114085095,0.100244908,3.755941004,14.14090819,1,1
54,arnt,klf3,1,1,0.784748527,2.571488121,3.936730179,3.006913221,1.867630682,10.60402905,2.601759606,0.654316878,1.386103501,0.474411656,3.526549742,1.104704116,0.611512672,1,0.11682449,0.038448531,0.736645558,2.324893204,1,1
55,arnt,klf4,1,1,0.423956,1.957899674,2.896258981,4.96342084,1.895894195,49.72159204,4.0438674,0.369821346,1.404049997,0.654601059,10.01760553,1.106238185,0.574020506,1,0.095383869,0.06028295,1.923362352,6.404743787,1,1
56,arnt,klf6,1,1,0.0001,3.337912367,61.56005891,234.2299438,3.800491822,681.9339137,27.92581448,1.00E-04,3.291013518,0.061736325,2.911386575,1.146354599,1.06105518,1,0.04673031,0.043558318,1.079904774,7.510980372,1,1
57,klf13,patz1,1,1,62.70293874,5.919305433,197.365015,260.7539389,264.4428173,30.73734119,4.240107161,47.58512637,5.787915511,1.33986673,0.117878722,0.764903363,0.582558965,1,0.258095459,0.057690978,5.90481895,3.62825239,1,1
58,arnt,klf9,1,1,0.828939923,5.293481391,10.24286035,5.332893375,2.066107515,26.45199222,2.169905041,0.766877622,2.656557148,0.201711968,4.960157715,1.101773884,0.32936284,1,0.199789703,0.047518395,1.830896058,4.407845757,1,1
59,klf13,plagl1,1,1,3.076744546,0.0001,69.35720015,20.09559577,100.6884232,4.489531256,23.53527735,2.946055032,1.00E-04,1.451737138,0.223408716,0.769800024,1.508612925,1,0.071994785,0.033851669,1.163274884,1.522180266,1,1
60,klf13,pura,1,1,4.109126276,6.690693364,87.00240625,85.71163494,11.38143774,43.42179666,13.58624617,3.923804854,6.206231787,0.130817505,0.506603295,0.717680197,0.696142232,1,0.217228673,0.052297815,3.478413153,3.258968909,1,1
61,klf13,rad21,1,1,4.054012478,0.631608945,26.86875431,27.64257343,41.08733838,9.803358781,7.510825287,3.522526493,0.617499612,1.529186575,0.35464711,0.753704534,0.429638624,1,0.308334256,0.065037032,8.070614055,4.948693923,1,1
62,klf13,rest,1,1,26.28724245,2.352967807,13.66070439,40.15747756,27.27133723,56.59301675,1.588167053,8.989254183,2.222730227,1.99633463,1.40927718,0.744999797,0.325704212,1,0.334800458,0.104233696,11.33717276,11.89928725,1,1
63,klf13,setdb1,1,1,8.66222147,0.742234248,7.814468532,14.88183038,17.19933425,9.082834373,1.990199288,4.108267928,0.70697379,2.200960203,0.610330459,0.738767119,0.533031228,1,0.212141292,0.056689238,3.833507059,1.992987621,1,1
64,klf13,sin3a,1,1,6.523876288,13.29428374,103.6439969,66.64469816,13.35526162,34.38038918,6.391525336,6.137548036,11.08337267,0.128857069,0.515875833,0.728697742,0.673198176,1,0.276417731,0.067891434,4.733190602,1.907838572,1,1
65,klf13,sp1,1,1,4.47091094,1.00E-04,5.185642073,11.45243664,12.11733089,4.966999256,2.151262273,2.400913022,1.00E-04,2.336707918,0.433706766,0.721013245,0.893835438,1,0.07890536,0.04471092,1.685749415,1.06833234,1,1
66,klf13,sp3,1,1,0.643517356,0.987853339,6.58831758,9.128538101,13.04516497,2.343816898,5.807054732,0.58625463,0.89139066,1.980044953,0.256757092,0.726933457,0.609873924,1,0.154840038,0.037759884,2.109288515,1.137793851,1,1
67,arnt,patz1,1,1,0.184895496,5.96108832,24.32676439,55.30148021,2.463479526,31.15672713,10.30804482,0.183500798,5.381051034,0.101266222,0.563397707,1.119372891,0.58449763,1,0.09488335,0.027293979,0.794235507,2.718611941,1,1
68,klf13,sp5,1,1,19.35582359,13.88721025,90.57146583,231.0351211,126.9975224,129.8942826,-0.956365903,15.94768072,13.09979896,1.40218027,0.562227431,0.767677333,1.280525465,1,0.143840873,0.127365374,10.16124954,24.89706259,1,1
69,arnt,polr3g,1,1,0.42664231,6.43421603,200.6218538,245.3151751,3.520440309,158.9830872,36.94759484,0.425736938,6.269770206,0.017547641,0.648076855,1.140039448,0.909160872,1,0.155431055,0.027407752,0.491300177,0.417841192,1,1
70,arnt,sox2,1,1,0.083912712,2.958785964,12.99766191,17.51403841,2.015050979,84.37260892,6.864402383,0.083374448,2.531174501,0.155031804,4.817427422,1.111197655,0.601433557,1,0.15187055,0.047634283,1.276053242,7.934604858,1,1
71,arnt,sp1,1,1,2.385213272,1.861889115,2.297104242,1.783219024,2.462590639,2.276797926,3.815458606,1.170164883,0.910852563,1.072041309,1.276790958,1.119372891,0.866526667,1,0.037210305,0.020728891,0.11208867,0.572387987,1,1
