,0,1,2,3
517,max,smarcc2,1.0,1.0
518,max,smc3,1.0,1.0
519,max,sp1,1.0,1.0
520,max,srebf1,1.0,1.0
521,max,srf,1.0,1.0
522,max,tcf12,1.0,1.0
523,max,tfdp1,1.0,1.0
524,max,thap11,1.0,1.0
525,max,yy1,1.0,1.0
526,max,zbtb7a,1.0,1.0
527,max,zbtb7b,1.0,1.0
528,ebf1,fos,1.0,1.0
529,max,zeb1,1.0,1.0
530,max,zfp148,1.0,1.0
531,ebf1,fosl2,1.0,1.0
532,max,zfp281,1.0,1.0
533,ebf1,jun,1.0,1.0
534,ebf1,klf10,1.0,1.0
535,ebf1,maff,1.0,1.0
536,ebf1,pura,1.0,1.0
537,ebf1,tcf12,1.0,1.0
538,ebf1,tcf7l2,1.0,1.0
539,ebf1,zbtb7a,1.0,1.0
540,tcf12,tcf7l2,1.0,1.0
541,egr1,elk3,1.0,1.0
542,egr1,ets1,1.0,1.0
543,egr1,fos,1.0,1.0
544,egr1,gabpa,1.0,1.0
545,prrx1,rad21,1.0,1.0
546,egr1,hdac2,1.0,1.0
547,prrx1,tcf7l2,1.0,1.0
548,prrx2,tcf7l2,1.0,1.0
549,egr1,klf3,1.0,1.0
550,egr1,klf4,1.0,1.0
551,egr1,klf7,1.0,1.0
552,egr1,max,1.0,1.0
553,egr1,mbd2,1.0,1.0
554,pura,rad21,1.0,1.0
555,pura,rest,1.0,1.0
556,egr1,myc,1.0,1.0
557,pura,sp1,1.0,1.0
558,hoxb13,nfya,1.0,1.0
559,hoxb13,nr3c1,1.0,1.0
560,pura,tcf12,1.0,1.0
561,hoxb13,srf,1.0,1.0
562,egr1,rad21,1.0,1.0
563,pura,xbp1,1.0,1.0
564,egr1,rela,1.0,1.0
565,egr1,rest,1.0,1.0
566,pura,zbtb7b,1.0,1.0
567,rad21,rarg,1.0,1.0
568,egr1,smad4,1.0,1.0
569,egr1,smc3,1.0,1.0
570,egr1,sp1,1.0,1.0
571,cbx5,stat3,1.0,1.0
572,mbd2,nfe2l2,1.0,1.0
573,rad21,tcf12,1.0,1.0
574,egr1,srf,1.0,1.0
575,rad21,yy1,1.0,1.0
576,egr1,stat3,1.0,1.0
577,rad21,zbtb7a,1.0,1.0
578,egr1,tcf12,1.0,1.0
579,rarg,rest,1.0,1.0
580,egr1,tfdp1,1.0,1.0
581,egr1,vezf1,1.0,1.0
582,rarg,tead1,1.0,1.0
583,egr1,yy1,1.0,1.0
584,mbd2,smc3,1.0,1.0
585,mbd2,sp1,1.0,1.0
586,egr1,zbtb7a,1.0,1.0
587,egr1,zbtb7b,1.0,1.0
588,egr1,zeb1,1.0,1.0
589,mbd2,srf,1.0,1.0
590,egr1,zfp148,1.0,1.0
591,mbd2,tcf12,1.0,1.0
592,egr1,zfp281,1.0,1.0
593,mbd2,tcf3,1.0,1.0
594,hoxb9,zeb1,1.0,1.0
595,hoxc13,nfkb2,1.0,1.0
596,hoxc13,zeb1,1.0,1.0
597,mbd2,tfdp1,1.0,1.0
598,mbd2,yy1,1.0,1.0
599,mbd2,zbtb7b,1.0,1.0
600,tcf7l2,zbtb7b,1.0,1.0
601,tcf7l2,zeb1,1.0,1.0
602,rela,tfdp1,1.0,1.0
603,rela,yy1,1.0,1.0
604,rela,zeb1,1.0,1.0
605,rest,smc3,1.0,1.0
606,rest,srf,1.0,1.0
607,rest,tcf12,1.0,1.0
608,hsf1,tcf12,1.0,1.0
609,rest,yy1,1.0,1.0
610,rest,zbtb7a,1.0,1.0
611,rest,zbtb7b,1.0,1.0
612,cebpb,ebf1,1.0,1.0
613,cebpb,egr1,1.0,1.0
614,cebpb,fosl1,1.0,1.0
615,cebpb,fosl2,1.0,1.0
616,cebpb,hdac2,1.0,1.0
617,cebpb,hmgn3,1.0,1.0
618,cebpb,jun,1.0,1.0
619,id1,nfe2l2,1.0,1.0
620,cebpb,klf3,1.0,1.0
621,cebpb,klf4,1.0,1.0
622,cebpb,klf6,1.0,1.0
623,cebpb,klf7,1.0,1.0
624,cebpb,maff,1.0,1.0
625,cebpb,mafk,1.0,1.0
626,cebpb,max,1.0,1.0
627,cebpb,myc,1.0,1.0
628,cebpb,nr2f2,1.0,1.0
629,cebpb,pura,1.0,1.0
630,id3,klf10,1.0,1.0
631,id3,klf6,1.0,1.0
632,cebpb,smad4,1.0,1.0
633,cebpb,smarcc2,1.0,1.0
634,cebpb,sp1,1.0,1.0
635,id3,maff,1.0,1.0
636,id3,mafk,1.0,1.0
637,id3,runx1,1.0,1.0
638,cebpb,srf,1.0,1.0
639,id3,stat3,1.0,1.0
640,id3,tfdp1,1.0,1.0
641,cebpb,tcf12,1.0,1.0
642,cebpb,tcf4,1.0,1.0
643,cebpb,tcf7l2,1.0,1.0
644,id3,zeb1,1.0,1.0
645,id3,zfp281,1.0,1.0
646,id4,klf4,1.0,1.0
647,cebpb,vezf1,1.0,1.0
648,meis3,stat3,1.0,1.0
649,cebpb,yy1,1.0,1.0
650,id4,klf6,1.0,1.0
651,cebpb,zbtb7a,1.0,1.0
652,cebpb,zbtb7b,1.0,1.0
653,id4,maff,1.0,1.0
654,cebpb,zeb1,1.0,1.0
655,cebpb,zfp148,1.0,1.0
656,id4,mafk,1.0,1.0
657,id4,srebf1,1.0,1.0
658,id4,stat3,1.0,1.0
659,id4,tfdp1,1.0,1.0
660,cebpd,maff,1.0,1.0
661,id4,zbtb7b,1.0,1.0
662,id4,zeb1,1.0,1.0
663,id4,zfp281,1.0,1.0
664,cebpg,nfya,1.0,1.0
665,mlx,srebf1,1.0,1.0
666,mlx,tcf12,1.0,1.0
667,cebpg,tfdp1,1.0,1.0
668,mlx,tcf4,1.0,1.0
669,cebpz,ets1,1.0,1.0
670,mlx,tfdp1,1.0,1.0
671,cebpz,hdac2,1.0,1.0
672,mlx,yy1,1.0,1.0
673,cebpz,id4,1.0,1.0
674,mlx,zeb1,1.0,1.0
675,cebpz,sp1,1.0,1.0
676,cebpz,stat3,1.0,1.0
677,cenpb,klf3,1.0,1.0
678,cenpb,max,1.0,1.0
679,cenpb,mbd2,1.0,1.0
680,cenpb,tcf12,1.0,1.0
681,cenpb,tcf3,1.0,1.0
682,irf3,maff,1.0,1.0
683,irf3,tcf12,1.0,1.0
684,irf3,tcf7l2,1.0,1.0
685,myc,rad21,1.0,1.0
686,myc,rest,1.0,1.0
687,max,rbpj,1.0,0.0
688,max,rela,1.0,0.0
689,max,rest,0.0,1.0
690,e2f4,maff,1.0,0.0
691,e2f4,mafk,1.0,0.0
692,max,runx1,1.0,0.0
693,e2f4,meis3,1.0,0.0
694,e2f4,mga,1.0,0.0
695,e2f4,mlx,1.0,0.0
696,max,smad4,1.0,0.0
697,max,smarcc1,0.0,1.0
698,e2f4,myc,1.0,0.0
699,max,snai2,1.0,0.0
700,max,sox11,1.0,0.0
701,max,sox4,1.0,0.0
702,max,sox9,1.0,0.0
703,e2f4,nfat5,1.0,0.0
704,e2f4,nfe2l1,1.0,0.0
705,nfix,nr3c1,0.0,1.0
706,e2f4,nfia,1.0,0.0
707,e2f4,nfic,1.0,0.0
708,e2f4,nfix,1.0,0.0
709,e2f4,nfkb2,1.0,0.0
710,e2f4,nfya,1.0,0.0
711,max,stat3,1.0,0.0
712,e2f4,nfyb,1.0,0.0
713,max,stat6,1.0,0.0
714,nfix,rad21,0.0,1.0
715,nfix,rest,0.0,1.0
716,nfix,smad4,0.0,1.0
717,max,tcf3,1.0,0.0
718,max,tcf4,1.0,0.0
719,nfix,sp1,0.0,1.0
720,nfix,smc3,0.0,1.0
721,max,tcf7l2,1.0,0.0
722,e2f4,nr1h2,1.0,0.0
723,max,tead1,1.0,0.0
724,max,tead3,1.0,0.0
725,nfix,srebf1,0.0,1.0
726,e2f4,nr2f2,1.0,0.0
727,e2f4,nr3c1,0.0,1.0
728,nfix,stat3,1.0,0.0
729,nfix,stat6,1.0,0.0
730,max,tgif1,1.0,0.0
731,nfix,tcf12,0.0,1.0
732,nfix,tcf7l2,0.0,1.0
733,max,topors,1.0,0.0
734,max,trp53,1.0,0.0
735,max,vdr,1.0,0.0
736,max,vezf1,1.0,0.0
